ref	Address	note
73807:142	U nádraží ČD,u čp.296, Kunčice p.O. Kunčice pod Ondřejníkem, Frýdek-Místek	stojan
73807:143	U kostela,napr.čp.22,Kunčice p.O. Kunčice pod Ondřejníkem, Frýdek-Místek	stojan zast.BUS
73807:21	Polit.obětí,u č.2238,FM-Místek Místek, Frýdek-Místek, Frýdek-Místek	stoj.vedle trafiky
73807:216	U požární zbrojnice,u čp.140,Pržno Pržno, Frýdek-Místek	stoj.zast.BUS
73807:217	napr.čp.512, Janovice Janovice, Frýdek-Místek	uvnitř zast.BUS Chovenec
73807:218	u čp.99, Metylovice Metylovice, Frýdek-Místek	stojan na zast.BUS - Mužný
73807:23	28.října 1875 xV.Talicha,FM-Místek Místek, Frýdek-Místek, Frýdek-Místek	stoj.na křiž.
73807:28	Nádražní 2052,FM-Frýdek Frýdek-Místek, Frýdek-Místek	stojan naproti nádraží ČD
73807:3	J.Pešiny 2600,FM-Frýdek Frýdek-Místek, Frýdek-Místek	stojan z ul.I.P.Pavlova
73807:39	Horní,vedle čp.1772,FM-Frýdek Frýdek-Místek, Frýdek-Místek	stojan pod stromem
73807:4	El.Krásnohorské 321,FM-Frýdek Frýdek-Místek, Frýdek-Místek	stoj.před nemocnicí
73807:40	u čp.187, Žabeň Žabeň, Frýdek-Místek	stojan na zast.BUS
73807:41	Kunčičky u Bašky, u čp.41 Kunčičky u Bašky, Baška, Frýdek-Místek	stojan zast.ČSAD
73807:42	Hodoňovice,u čp.100, Baška Hodoňovice, Baška, Frýdek-Místek	stojan na zast.BUS
73807:43	u čp.220,Sedliště Sedliště, Frýdek-Místek	na dřevěné zast.BUSKaple
73807:47	u čp.59,FM-Skalice Skalice, Frýdek-Místek, Frýdek-Místek	stojan na zst.BUS
73807:48	naproti čp.7-obchod, Žermanice Žermanice, Frýdek-Místek	na stojanu
73807:54	Příborská,u čp.39,FM-Zelinkovice Zelinkovice, Frýdek-Místek, Frýdek-Místek	v zast.BUS
73807:57	Rychaltice,u č.170,Hukvaldy Rychaltice, Hukvaldy, Frýdek-Místek	stoj.zast.BUS U Dvorů
73807:58	Horní Sklenov,u čp.7,Hukvaldy Horní Sklenov, Hukvaldy, Frýdek-Místek	stojan na zast.BUS
73807:60	u čp.632,Kozlovice garáže-h.konec
73807:67	u čp. 88, Vojkovice Vojkovice, Frýdek-Místek	na zast.BUS naproti OÚ
73807:69	u čp.6, Vyšní Lhoty Vyšní Lhoty, Frýdek-Místek	stojan na zast.BUS U Kříže
73807:7	Revoluční,poblíž čp.508,FM-Frýdek Frýdek-Místek, Frýdek-Místek	stojan u zast.
73807:75	u čp.116,Lučina Lučina, Frýdek-Místek	stojan na zast.BUS U Lipek
73807:82	Penzion U Přehrady, u čp.400, Morávka Morávka, Frýdek-Místek	stojan
73807:84	napr.čp.181,Krásná Krásná, Frýdek-Místek	stoj.zat.BUS-U Rekreantu
73807:85	Obchod U Nováka, u čp.338, Krásná Krásná, Frýdek-Místek	stojan u plotu
73807:86	u čp.369, Raškovice Raškovice, Frýdek-Místek	na zděné zast.BUS-U Kaple
73917:1	napr.české ZŠ,čp.120, Hnojník Hnojník, Frýdek-Místek	stojan na zast.BUS
73917:108	Za stánkem Šotkovski, čp.105, Dolní Lomná Dolní Lomná, Frýdek-Místek	stojan
73917:111	Za Pohostinstvím Salajka,čp.50,Hor.Lomná Horní Lomná, Frýdek-Místek	stojan
73917:27	Pyszková,u čp.360,Třinec-Konská Konská, Třinec, Frýdek-Místek	stojan u cesty
73917:31	Lanová dráha,Třinec-Oldřichovice Oldřichovice, Třinec, Frýdek-Místek	na obj.bez čp.
73917:32	u čp. 72-rest.Liberda,Třinec-Tyra Tyra, Třinec, Frýdek-Místek	stojan zast.BUS
73917:4	napr.čp.72,Třanovice-autob.zast.U Pavery Třanovice, Frýdek-Místek	stojan
73917:44	Na kopci,napr.čp.59,Tř-Karpentná Karpentná, Třinec, Frýdek-Místek	stojan na rozc.
73917:59	Kopernikova,u čp.1580/1, Český Těšín Český Těšín, Karviná	stojan
73917:6	naproti čp.160, Komorní Lhotka Komorní Lhotka, Frýdek-Místek	stojan točna BUS
73917:63	Polní,u čp.893/36-potraviny,Český Těšín Český Těšín, Karviná	stojan
73917:65	Jablunkovská,u stanoviště ČSAD,ČT Český Těšín, Karviná	stojan
